"","gt0","meanrow"
"(Intercept)",-1000,-2.16481242985177
"age",-987,-0.319953033807292
"education",879,0.136979664970305
"income disclosure",-571,-0.0582683947279548
"new media literacy",692,0.0776295676796269
"pol. leaning",-558,-0.0449818478484097
"political knowledge",974,0.2146238053747
"SM Telegram",561,0.047965235020437
"SM variety",887,0.143777335723499
